 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/1H_in_mo.txt

 Ion = Hydrogen     [1] , Mass = 1.007825 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1.007825 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.610E-02  2.407E-03      67 A       102 A        76 A   
   1.10 keV   3.786E-02  2.419E-03      73 A       108 A        80 A   
   1.20 keV   3.954E-02  2.426E-03      78 A       114 A        85 A   
   1.30 keV   4.116E-02  2.431E-03      84 A       120 A        89 A   
   1.40 keV   4.271E-02  2.433E-03      89 A       125 A        93 A   
   1.50 keV   4.421E-02  2.432E-03      95 A       131 A        97 A   
   1.60 keV   4.566E-02  2.430E-03     100 A       136 A       101 A   
   1.70 keV   4.706E-02  2.427E-03     105 A       141 A       105 A   
   1.80 keV   4.843E-02  2.422E-03     111 A       146 A       109 A   
   2.00 keV   5.105E-02  2.410E-03     122 A       155 A       117 A   
   2.25 keV   5.426E-02  2.391E-03     135 A       166 A       126 A   
   2.50 keV   5.718E-02  2.368E-03     148 A       177 A       134 A   
   2.75 keV   5.982E-02  2.344E-03     162 A       188 A       143 A   
   3.00 keV   6.218E-02  2.318E-03     175 A       198 A       151 A   
   3.25 keV   6.427E-02  2.292E-03     188 A       207 A       158 A   
   3.50 keV   6.614E-02  2.266E-03     201 A       217 A       166 A   
   3.75 keV   6.781E-02  2.239E-03     215 A       226 A       174 A   
   4.00 keV   6.933E-02  2.212E-03     228 A       235 A       181 A   
   4.50 keV   7.216E-02  2.160E-03     255 A       252 A       196 A   
