 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ti/1H_in_ti.txt

 Ion = Hydrogen     [1] , Mass = 1.007825 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1.007825 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.210E-02  5.535E-03     117 A       140 A       106 A   
   1.10 keV   6.513E-02  5.496E-03     127 A       148 A       112 A   
   1.20 keV   6.803E-02  5.452E-03     137 A       156 A       119 A   
   1.30 keV   7.081E-02  5.406E-03     147 A       164 A       125 A   
   1.40 keV   7.348E-02  5.357E-03     157 A       172 A       131 A   
   1.50 keV   7.606E-02  5.307E-03     168 A       179 A       137 A   
   1.60 keV   7.855E-02  5.256E-03     178 A       186 A       143 A   
   1.70 keV   8.097E-02  5.204E-03     188 A       193 A       148 A   
   1.80 keV   8.332E-02  5.153E-03     198 A       199 A       154 A   
   2.00 keV   8.783E-02  5.051E-03     218 A       212 A       164 A   
   2.25 keV   9.308E-02  4.926E-03     242 A       227 A       177 A   
   2.50 keV   9.804E-02  4.806E-03     267 A       241 A       189 A   
   2.75 keV   1.028E-01  4.690E-03     291 A       255 A       201 A   
   3.00 keV   1.072E-01  4.580E-03     316 A       268 A       212 A   
   3.25 keV   1.115E-01  4.475E-03     340 A       280 A       223 A   
   3.50 keV   1.157E-01  4.374E-03     364 A       292 A       233 A   
   3.75 keV   1.197E-01  4.279E-03     387 A       303 A       243 A   
   4.00 keV   1.235E-01  4.188E-03     411 A       313 A       253 A   
   4.50 keV   1.308E-01  4.018E-03     458 A       334 A       272 A   
