 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/92Br_in_au.txt

 Ion = Bromine      [35] , Mass = 91.93963 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 91.93963 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.156E-02  3.248E-01      10 A        11 A         8 A   
   1.10 keV   1.213E-02  3.410E-01      11 A        11 A         9 A   
   1.20 keV   1.266E-02  3.563E-01      11 A        12 A         9 A   
   1.30 keV   1.318E-02  3.709E-01      11 A        12 A         9 A   
   1.40 keV   1.368E-02  3.847E-01      12 A        13 A        10 A   
   1.50 keV   1.416E-02  3.980E-01      12 A        13 A        10 A   
   1.60 keV   1.462E-02  4.107E-01      13 A        13 A        10 A   
   1.70 keV   1.507E-02  4.229E-01      13 A        14 A        11 A   
   1.80 keV   1.551E-02  4.347E-01      13 A        14 A        11 A   
   2.00 keV   1.635E-02  4.570E-01      14 A        15 A        11 A   
   2.25 keV   1.734E-02  4.829E-01      15 A        15 A        12 A   
   2.50 keV   1.828E-02  5.069E-01      16 A        16 A        13 A   
   2.75 keV   1.917E-02  5.293E-01      17 A        17 A        13 A   
   3.00 keV   2.002E-02  5.504E-01      18 A        18 A        14 A   
   3.25 keV   2.084E-02  5.702E-01      18 A        18 A        14 A   
   3.50 keV   2.163E-02  5.890E-01      19 A        19 A        15 A   
   3.75 keV   2.239E-02  6.068E-01      20 A        19 A        15 A   
   4.00 keV   2.312E-02  6.238E-01      21 A        20 A        16 A   
   4.50 keV   2.452E-02  6.554E-01      22 A        21 A        17 A   
