 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/149Sm_in_kapton.txt

 Ion = Samarium     [62] , Mass = 148.9172 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Samarium     [62] , Mass = 148.9172 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.231E-01  2.550E+00      57 A        13 A         9 A   
   1.10 keV   1.291E-01  2.677E+00      60 A        13 A         9 A   
   1.20 keV   1.349E-01  2.798E+00      62 A        14 A        10 A   
   1.30 keV   1.404E-01  2.913E+00      64 A        14 A        10 A   
   1.40 keV   1.457E-01  3.022E+00      66 A        15 A        10 A   
   1.50 keV   1.508E-01  3.127E+00      68 A        15 A        11 A   
   1.60 keV   1.557E-01  3.227E+00      70 A        16 A        11 A   
   1.70 keV   1.605E-01  3.324E+00      72 A        16 A        11 A   
   1.80 keV   1.652E-01  3.417E+00      74 A        16 A        12 A   
   2.00 keV   1.741E-01  3.593E+00      77 A        17 A        12 A   
   2.25 keV   1.847E-01  3.798E+00      81 A        18 A        13 A   
   2.50 keV   1.947E-01  3.988E+00      85 A        19 A        13 A   
   2.75 keV   2.042E-01  4.165E+00      89 A        19 A        14 A   
   3.00 keV   2.133E-01  4.332E+00      93 A        20 A        14 A   
   3.25 keV   2.220E-01  4.489E+00      96 A        21 A        15 A   
   3.50 keV   2.303E-01  4.638E+00     100 A        21 A        15 A   
   3.75 keV   2.384E-01  4.779E+00     103 A        22 A        16 A   
