 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/44Si_in_kapton.txt

 Ion = Silicon      [14] , Mass = 44.03147 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 44.03147 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.910E-01  1.918E+00      48 A        16 A        12 A   
   1.10 keV   2.004E-01  1.976E+00      51 A        17 A        13 A   
   1.20 keV   2.093E-01  2.029E+00      53 A        18 A        13 A   
   1.30 keV   2.178E-01  2.078E+00      56 A        18 A        14 A   
   1.40 keV   2.260E-01  2.123E+00      58 A        19 A        15 A   
   1.50 keV   2.340E-01  2.164E+00      61 A        20 A        15 A   
   1.60 keV   2.416E-01  2.203E+00      63 A        21 A        16 A   
   1.70 keV   2.491E-01  2.239E+00      66 A        21 A        16 A   
   1.80 keV   2.563E-01  2.273E+00      68 A        22 A        17 A   
   2.00 keV   2.702E-01  2.335E+00      73 A        23 A        18 A   
   2.25 keV   2.866E-01  2.403E+00      78 A        24 A        19 A   
   2.50 keV   3.021E-01  2.463E+00      84 A        26 A        20 A   
   2.75 keV   3.168E-01  2.515E+00      89 A        27 A        21 A   
   3.00 keV   3.309E-01  2.562E+00      94 A        29 A        22 A   
   3.25 keV   3.444E-01  2.604E+00      99 A        30 A        23 A   
   3.50 keV   3.574E-01  2.641E+00     104 A        31 A        25 A   
   3.75 keV   3.699E-01  2.675E+00     109 A        32 A        26 A   
