 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/66Se_in_kapton.txt

 Ion = Selenium     [34] , Mass = 65.95528 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 65.95528 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.510E-01  2.706E+00      43 A        13 A        10 A   
   1.10 keV   1.583E-01  2.817E+00      45 A        14 A        10 A   
   1.20 keV   1.654E-01  2.921E+00      47 A        15 A        11 A   
   1.30 keV   1.721E-01  3.019E+00      49 A        15 A        11 A   
   1.40 keV   1.786E-01  3.110E+00      51 A        16 A        11 A   
   1.50 keV   1.849E-01  3.197E+00      53 A        16 A        12 A   
   1.60 keV   1.909E-01  3.279E+00      54 A        16 A        12 A   
   1.70 keV   1.968E-01  3.357E+00      56 A        17 A        12 A   
   1.80 keV   2.025E-01  3.432E+00      58 A        17 A        13 A   
   2.00 keV   2.135E-01  3.571E+00      61 A        18 A        13 A   
   2.25 keV   2.264E-01  3.729E+00      65 A        19 A        14 A   
   2.50 keV   2.387E-01  3.872E+00      69 A        20 A        15 A   
   2.75 keV   2.503E-01  4.004E+00      72 A        21 A        16 A   
   3.00 keV   2.615E-01  4.125E+00      76 A        22 A        16 A   
   3.25 keV   2.721E-01  4.237E+00      79 A        23 A        17 A   
   3.50 keV   2.824E-01  4.341E+00      83 A        24 A        18 A   
   3.75 keV   2.923E-01  4.438E+00      86 A        24 A        18 A   
