 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/165Gd_in_kapton.txt

 Ion = Gadolinium   [64] , Mass = 164.9393 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 164.9393 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.998E-01  2.466E+00      56 A        12 A         8 A   
   1.10 keV   3.144E-01  2.591E+00      58 A        12 A         8 A   
   1.20 keV   3.284E-01  2.710E+00      60 A        12 A         9 A   
   1.30 keV   3.418E-01  2.822E+00      62 A        13 A         9 A   
   1.40 keV   3.547E-01  2.930E+00      64 A        13 A         9 A   
   1.50 keV   3.671E-01  3.033E+00      66 A        14 A         9 A   
   1.60 keV   3.792E-01  3.132E+00      68 A        14 A        10 A   
   1.70 keV   3.908E-01  3.227E+00      70 A        14 A        10 A   
   1.80 keV   4.022E-01  3.319E+00      72 A        15 A        10 A   
   2.00 keV   4.239E-01  3.493E+00      75 A        15 A        11 A   
   2.25 keV   4.497E-01  3.696E+00      79 A        16 A        11 A   
   2.50 keV   4.740E-01  3.884E+00      83 A        17 A        12 A   
   2.75 keV   4.971E-01  4.061E+00      87 A        17 A        12 A   
   3.00 keV   5.192E-01  4.226E+00      90 A        18 A        13 A   
   3.25 keV   5.404E-01  4.383E+00      94 A        19 A        13 A   
   3.50 keV   5.608E-01  4.531E+00      97 A        19 A        14 A   
   3.75 keV   5.805E-01  4.672E+00     100 A        20 A        14 A   
