 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/129Sm_in_kapton.txt

 Ion = Samarium     [62] , Mass = 128.9546 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Samarium     [62] , Mass = 128.9546 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.323E-01  2.696E+00      53 A        13 A         9 A   
   1.10 keV   1.388E-01  2.829E+00      55 A        13 A         9 A   
   1.20 keV   1.449E-01  2.954E+00      57 A        14 A        10 A   
   1.30 keV   1.509E-01  3.074E+00      59 A        14 A        10 A   
   1.40 keV   1.565E-01  3.188E+00      61 A        15 A        10 A   
   1.50 keV   1.620E-01  3.296E+00      63 A        15 A        11 A   
   1.60 keV   1.674E-01  3.400E+00      65 A        15 A        11 A   
   1.70 keV   1.725E-01  3.500E+00      67 A        16 A        11 A   
   1.80 keV   1.775E-01  3.597E+00      68 A        16 A        11 A   
   2.00 keV   1.871E-01  3.779E+00      72 A        17 A        12 A   
   2.25 keV   1.985E-01  3.990E+00      76 A        18 A        13 A   
   2.50 keV   2.092E-01  4.186E+00      79 A        18 A        13 A   
   2.75 keV   2.194E-01  4.369E+00      83 A        19 A        14 A   
   3.00 keV   2.292E-01  4.540E+00      86 A        20 A        14 A   
   3.25 keV   2.385E-01  4.701E+00      90 A        21 A        15 A   
   3.50 keV   2.475E-01  4.854E+00      93 A        21 A        15 A   
   3.75 keV   2.562E-01  4.998E+00      96 A        22 A        16 A   
