 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/191Ir_in_kapton.txt

 Ion = Iridium      [77] , Mass = 190.9606 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iridium      [77] , Mass = 190.9606 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.273E-01  2.423E+00      58 A        11 A         8 A   
   1.10 keV   3.433E-01  2.550E+00      60 A        12 A         8 A   
   1.20 keV   3.586E-01  2.671E+00      63 A        12 A         8 A   
   1.30 keV   3.732E-01  2.786E+00      65 A        12 A         9 A   
   1.40 keV   3.873E-01  2.896E+00      67 A        13 A         9 A   
   1.50 keV   4.009E-01  3.002E+00      69 A        13 A         9 A   
   1.60 keV   4.140E-01  3.104E+00      71 A        13 A         9 A   
   1.70 keV   4.268E-01  3.202E+00      72 A        14 A        10 A   
   1.80 keV   4.392E-01  3.297E+00      74 A        14 A        10 A   
   2.00 keV   4.629E-01  3.477E+00      78 A        15 A        10 A   
   2.25 keV   4.910E-01  3.688E+00      82 A        15 A        11 A   
   2.50 keV   5.175E-01  3.884E+00      86 A        16 A        11 A   
   2.75 keV   5.428E-01  4.069E+00      89 A        17 A        12 A   
   3.00 keV   5.669E-01  4.243E+00      93 A        17 A        12 A   
   3.25 keV   5.901E-01  4.408E+00      96 A        18 A        13 A   
   3.50 keV   6.124E-01  4.565E+00      99 A        19 A        13 A   
   3.75 keV   6.339E-01  4.714E+00     102 A        19 A        13 A   
