 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/131Pr_in_cu.txt

 Ion = Praseodymium [59] , Mass = 130.9202 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 130.9202 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.777E-02  1.258E+00      13 A         7 A         5 A   
   1.10 keV   2.912E-02  1.322E+00      14 A         7 A         5 A   
   1.20 keV   3.042E-02  1.382E+00      14 A         8 A         6 A   
   1.30 keV   3.166E-02  1.440E+00      15 A         8 A         6 A   
   1.40 keV   3.286E-02  1.495E+00      15 A         8 A         6 A   
   1.50 keV   3.401E-02  1.548E+00      15 A         8 A         6 A   
   1.60 keV   3.512E-02  1.599E+00      16 A         9 A         6 A   
   1.70 keV   3.621E-02  1.647E+00      16 A         9 A         6 A   
   1.80 keV   3.725E-02  1.694E+00      17 A         9 A         7 A   
   2.00 keV   3.927E-02  1.784E+00      18 A        10 A         7 A   
   2.25 keV   4.165E-02  1.887E+00      19 A        10 A         7 A   
   2.50 keV   4.391E-02  1.984E+00      20 A        10 A         8 A   
   2.75 keV   4.605E-02  2.074E+00      20 A        11 A         8 A   
   3.00 keV   4.810E-02  2.159E+00      21 A        11 A         8 A   
   3.25 keV   5.006E-02  2.239E+00      22 A        12 A         8 A   
   3.50 keV   5.195E-02  2.315E+00      23 A        12 A         9 A   
   3.75 keV   5.377E-02  2.388E+00      24 A        12 A         9 A   
   4.00 keV   5.554E-02  2.457E+00      24 A        13 A         9 A   
   4.50 keV   5.891E-02  2.586E+00      26 A        13 A        10 A   
