 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/1H_in_cu.txt

 Ion = Hydrogen     [1] , Mass = 1.007825 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1.007825 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.771E-02  4.039E-03      69 A       103 A        76 A   
   1.10 keV   3.955E-02  4.032E-03      75 A       109 A        81 A   
   1.20 keV   4.131E-02  4.020E-03      81 A       116 A        86 A   
   1.30 keV   4.299E-02  4.004E-03      87 A       122 A        91 A   
   1.40 keV   4.462E-02  3.985E-03      93 A       127 A        95 A   
   1.50 keV   4.618E-02  3.964E-03      99 A       133 A       100 A   
   1.60 keV   4.770E-02  3.942E-03     105 A       139 A       104 A   
   1.70 keV   4.916E-02  3.918E-03     111 A       144 A       108 A   
   1.80 keV   5.059E-02  3.893E-03     117 A       149 A       112 A   
   2.00 keV   5.333E-02  3.841E-03     129 A       159 A       120 A   
   2.25 keV   5.632E-02  3.774E-03     144 A       172 A       130 A   
   2.50 keV   5.913E-02  3.706E-03     160 A       183 A       140 A   
   2.75 keV   6.180E-02  3.639E-03     175 A       195 A       149 A   
   3.00 keV   6.436E-02  3.573E-03     190 A       205 A       158 A   
   3.25 keV   6.680E-02  3.509E-03     205 A       216 A       166 A   
   3.50 keV   6.915E-02  3.446E-03     221 A       226 A       175 A   
   3.75 keV   7.141E-02  3.386E-03     236 A       236 A       183 A   
   4.00 keV   7.359E-02  3.327E-03     251 A       245 A       191 A   
   4.50 keV   7.775E-02  3.216E-03     282 A       263 A       207 A   
