 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/138Dy_in_cu.txt

 Ion = Dysprosium   [66] , Mass = 137.9625 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Dysprosium   [66] , Mass = 137.9625 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.264E-02  1.296E+00      13 A         7 A         5 A   
   1.10 keV   7.618E-02  1.363E+00      13 A         7 A         5 A   
   1.20 keV   7.957E-02  1.426E+00      14 A         7 A         5 A   
   1.30 keV   8.282E-02  1.487E+00      14 A         7 A         5 A   
   1.40 keV   8.595E-02  1.545E+00      15 A         8 A         6 A   
   1.50 keV   8.896E-02  1.600E+00      15 A         8 A         6 A   
   1.60 keV   9.188E-02  1.653E+00      16 A         8 A         6 A   
   1.70 keV   9.471E-02  1.705E+00      16 A         8 A         6 A   
   1.80 keV   9.745E-02  1.754E+00      16 A         9 A         6 A   
   2.00 keV   1.027E-01  1.849E+00      17 A         9 A         6 A   
   2.25 keV   1.090E-01  1.958E+00      18 A         9 A         7 A   
   2.50 keV   1.148E-01  2.061E+00      19 A        10 A         7 A   
   2.75 keV   1.205E-01  2.157E+00      20 A        10 A         7 A   
   3.00 keV   1.258E-01  2.247E+00      21 A        11 A         8 A   
   3.25 keV   1.309E-01  2.333E+00      21 A        11 A         8 A   
   3.50 keV   1.359E-01  2.414E+00      22 A        11 A         8 A   
   3.75 keV   1.407E-01  2.491E+00      23 A        12 A         8 A   
   4.00 keV   1.453E-01  2.565E+00      24 A        12 A         9 A   
