 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/be/90Rh_in_be.txt

 Ion = Rhodium      [45] , Mass = 89.94457 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 89.94457 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.404E-01  2.831E+00      36 A         8 A         6 A   
   1.10 keV   1.472E-01  2.955E+00      37 A         9 A         6 A   
   1.20 keV   1.538E-01  3.071E+00      39 A         9 A         6 A   
   1.30 keV   1.601E-01  3.180E+00      40 A         9 A         7 A   
   1.40 keV   1.661E-01  3.283E+00      42 A        10 A         7 A   
   1.50 keV   1.719E-01  3.381E+00      43 A        10 A         7 A   
   1.60 keV   1.776E-01  3.474E+00      45 A        10 A         7 A   
   1.70 keV   1.830E-01  3.563E+00      46 A        11 A         8 A   
   1.80 keV   1.884E-01  3.648E+00      47 A        11 A         8 A   
   2.00 keV   1.985E-01  3.807E+00      50 A        11 A         8 A   
   2.25 keV   2.106E-01  3.990E+00      53 A        12 A         9 A   
   2.50 keV   2.220E-01  4.156E+00      56 A        12 A         9 A   
   2.75 keV   2.328E-01  4.310E+00      58 A        13 A        10 A   
   3.00 keV   2.432E-01  4.452E+00      61 A        13 A        10 A   
   3.25 keV   2.531E-01  4.584E+00      64 A        14 A        10 A   
   3.50 keV   2.626E-01  4.708E+00      66 A        14 A        11 A   
   3.75 keV   2.719E-01  4.824E+00      69 A        15 A        11 A   
   4.00 keV   2.808E-01  4.934E+00      71 A        15 A        11 A   
   4.50 keV   2.978E-01  5.135E+00      76 A        16 A        12 A   
