 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/134Sn_in_si.txt

 Ion = Tin          [50] , Mass = 133.9287 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 133.9287 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.206E-02  1.887E+00      41 A        15 A        11 A   
   1.10 keV   7.558E-02  1.980E+00      43 A        15 A        11 A   
   1.20 keV   7.894E-02  2.067E+00      45 A        16 A        11 A   
   1.30 keV   8.216E-02  2.150E+00      46 A        16 A        12 A   
   1.40 keV   8.526E-02  2.229E+00      48 A        17 A        12 A   
   1.50 keV   8.826E-02  2.304E+00      49 A        17 A        12 A   
   1.60 keV   9.115E-02  2.376E+00      51 A        18 A        13 A   
   1.70 keV   9.395E-02  2.445E+00      52 A        18 A        13 A   
   1.80 keV   9.668E-02  2.512E+00      53 A        19 A        13 A   
   2.00 keV   1.019E-01  2.638E+00      56 A        19 A        14 A   
   2.25 keV   1.081E-01  2.784E+00      59 A        20 A        15 A   
   2.50 keV   1.139E-01  2.920E+00      62 A        21 A        15 A   
   2.75 keV   1.195E-01  3.046E+00      65 A        22 A        16 A   
   3.00 keV   1.248E-01  3.164E+00      68 A        23 A        17 A   
   3.25 keV   1.299E-01  3.275E+00      70 A        24 A        17 A   
   3.50 keV   1.348E-01  3.380E+00      73 A        25 A        18 A   
   3.75 keV   1.395E-01  3.480E+00      76 A        25 A        18 A   
   4.00 keV   1.441E-01  3.574E+00      78 A        26 A        19 A   
   4.50 keV   1.529E-01  3.750E+00      83 A        27 A        20 A   
